City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,verkhnevilyuysk,63.4453,120.3167,-12.64,95,100,5.75,RU,1675351271
309,padang,-0.9492,100.3543,77.05,83,96,3.62,ID,1675351049
310,port hardy,50.6996,-127.4199,42.98,75,100,24.16,CA,1675351272
311,northam,51.0333,-4.2167,51.39,94,100,14.45,GB,1675351272
312,oberstdorf,47.4,10.2833,38.64,89,100,4.0,DE,1675351033
313,tara,56.8944,74.371,2.97,100,95,3.36,RU,1675351273
314,omboue,-1.5746,9.2618,84.88,72,43,10.71,GA,1675351273
315,maniwaki,46.3834,-75.966,19.78,86,100,10.36,CA,1675351273
316,usagara,-2.6833,33.0,78.53,47,40,6.89,TZ,1675351274
317,buala,-8.145,159.5921,79.2,85,96,5.59,SB,1675351274
318,loreto,22.2667,-101.9667,54.37,57,66,8.59,MX,1675351274
319,hatillo,18.4863,-66.8254,85.86,73,19,10.0,PR,1675351275
320,skjervoy,70.0311,20.9714,10.4,60,99,7.07,NO,1675351275
321,udachnyy,66.4167,112.4,-19.66,98,100,4.05,RU,1675351276
322,mgandu,-5.95,34.1333,67.23,82,85,4.38,TZ,1675351276
323,encruzilhada do sul,-30.5439,-52.5219,90.09,33,32,5.57,BR,1675351277
324,tolaga bay,-38.3667,178.3,64.15,95,99,9.84,NZ,1675351277
325,anaconda,46.1285,-112.9423,0.59,84,94,7.47,US,1675351277
326,peniche,39.3558,-9.3811,62.29,61,0,5.3,PT,1675351278
327,tangua,-22.7303,-42.7142,89.02,53,99,2.01,BR,1675351278
328,fortuna,40.5982,-124.1573,47.32,49,0,13.8,US,1675351278
329,makakilo city,21.3469,-158.0858,68.99,86,0,4.61,US,1675351279
330,batagay,67.6333,134.6333,-28.12,98,100,2.1,RU,1675351279
331,olafsvik,64.8945,-23.7142,34.84,99,100,30.31,IS,1675351280
332,svencionys,55.15,26.1667,29.91,94,100,7.9,LT,1675351280
333,caceres,39.522,-6.3748,55.36,50,0,4.43,ES,1675351280
334,pangai,-19.8,-174.35,80.33,82,87,19.77,TO,1675351281
335,lazaro cardenas,17.9583,-102.2,77.72,37,4,3.51,MX,1675351281
336,sesheke,-17.4759,24.2968,80.78,64,44,6.26,ZM,1675351281
337,eyl,7.9803,49.8164,76.48,66,0,19.84,SO,1675351282
338,chimbote,-9.0853,-78.5783,75.16,70,90,6.22,PE,1675351033
339,villa carlos paz,-31.4241,-64.4978,70.88,40,63,4.21,AR,1675351282
340,oudtshoorn,-33.5907,22.2014,66.56,51,0,13.51,ZA,1675351283
341,agirish,61.9247,63.0231,7.74,98,45,4.16,RU,1675351183
342,borba,-4.3878,-59.5939,82.92,68,83,4.21,BR,1675351284
343,nerchinskiy zavod,51.3088,119.61,-18.38,97,100,1.54,RU,1675351284
344,coahuayana,18.7333,-103.6833,76.69,38,4,3.69,MX,1675351284
345,san pedro,14.35,121.0167,81.36,82,40,5.75,PH,1675351285
346,rawlins,41.7911,-107.2387,21.09,58,0,9.06,US,1675351285
347,regeneracao,-6.2378,-42.6883,92.34,39,100,5.79,BR,1675351286
348,rapid valley,44.0625,-103.1463,20.77,86,100,11.99,US,1675351286
349,surt,31.2089,16.5887,60.57,52,36,5.99,LY,1675351286
350,balabac,7.9868,117.0645,80.67,84,98,14.99,PH,1675351287
351,kutum,14.2,24.6667,76.91,14,19,13.15,SD,1675351287
352,stonewall,50.1344,-97.3268,-14.3,89,53,12.57,CA,1675351288
353,brae,60.3964,-1.353,42.46,94,100,24.38,GB,1675351289
354,liverpool,53.4106,-2.9779,53.74,76,75,23.02,GB,1675351086
355,athabasca,54.7169,-113.2854,-16.19,87,100,10.87,CA,1675351290
356,tessalit,20.1986,1.0114,81.03,7,21,8.68,ML,1675351290
357,champerico,14.3,-91.9167,82.94,60,5,2.66,GT,1675351291
358,waipawa,-41.4122,175.5153,62.22,87,97,4.23,NZ,1675351291
359,tanout,14.9709,8.8879,87.98,10,25,13.47,NE,1675351292
360,vallenar,-28.5708,-70.7581,82.24,36,0,6.53,CL,1675351292
361,college,64.8569,-147.8028,11.59,85,100,4.61,US,1675351292
362,slave lake,55.2834,-114.769,-11.22,77,100,13.8,CA,1675351293
363,valdepenas,38.7621,-3.3848,55.85,30,0,3.06,ES,1675351293
364,fukue,32.6881,128.8419,49.26,60,86,12.57,JP,1675351294
365,mahebourg,-20.4081,57.7,81.25,83,40,6.91,MU,1675351294
366,viedma,-40.8135,-62.9967,81.07,36,48,7.23,AR,1675351294
367,nishihara,26.1842,127.7558,61.88,72,0,6.91,JP,1675351295
368,shanghai,31.2222,121.4581,41.94,69,0,8.95,CN,1675351145
369,nakapiripirit,1.9167,34.7833,86.27,18,99,17.34,UG,1675351295
370,verkh-usugli,52.7,115.1667,-13.65,97,27,3.62,RU,1675351296
371,lokossa,6.6387,1.7167,96.48,37,11,10.63,BJ,1675351296
372,barcelos,41.5388,-8.6151,60.91,42,0,0.65,PT,1675351296
373,huilong,31.8111,121.655,39.92,71,100,7.76,CN,1675351297
374,griffith,41.5284,-87.4237,28.27,66,0,12.66,US,1675351297
375,mogadishu,2.0371,45.3438,80.47,78,0,19.57,SO,1675351298
